Date,City,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,WindSpeed,AQI
2023-01-01,Chennai,107,119,40,46,1.04,68,33,28,4.86,102.0
2023-01-02,Bangalore,207,308,23,28,1.53,48,20,57,0.92,199.0
2023-01-03,Kolkata,249,273,24,74,0.3,113,22,67,3.53,202.0
2023-01-04,Bangalore,153,241,61,27,1.12,108,43,79,2.5,163.0
2023-01-05,Bangalore,106,376,22,48,0.82,63,34,82,4.41,174.0
2023-01-06,Mumbai,210,42,51,57,0.97,107,16,21,1.3,125.0
2023-01-07,Kolkata,133,269,53,64,1.25,64,13,30,3.62,161.0
2023-01-08,Kolkata,196,29,18,49,1.05,33,17,83,4.27,105.0
2023-01-09,Kolkata,268,265,19,62,1.13,31,29,40,4.75,206.0
2023-01-10,Bangalore,157,344,35,27,1.02,78,38,37,3.57,189.0
2023-01-11,Chennai,261,119,5,37,0.88,65,19,83,2.74,158.0
2023-01-12,Kolkata,156,309,58,2,1.57,42,43,57,3.28,181.0
2023-01-13,Bangalore,157,199,7,9,0.12,45,35,51,4.41,129.0
2023-01-14,Mumbai,208,242,20,53,1.24,29,12,30,3.07,176.0
2023-01-15,Chennai,137,269,91,48,1.17,92,15,64,0.64,168.0
2023-01-16,Mumbai,48,166,61,57,1.46,108,14,52,4.69,103.0
2023-01-17,Chennai,138,115,79,15,1.24,116,14,60,3.6,122.0
2023-01-18,Bangalore,276,276,16,29,1.67,90,32,27,3.54,222.0
2023-01-19,Delhi,160,344,78,79,1.92,71,18,30,1.47,205.0
2023-01-20,Chennai,108,23,20,3,0.75,118,44,70,3.46,72.0
2023-01-21,Mumbai,272,35,76,27,0.53,116,29,60,2.27,145.0
2023-01-22,Bangalore,261,299,80,15,0.9,107,44,36,3.43,223.0
2023-01-23,Chennai,153,355,28,60,0.65,82,27,65,0.98,188.0
2023-01-24,Delhi,121,266,32,57,1.27,35,26,51,3.46,150.0
2023-01-25,Delhi,69,277,12,8,1.83,75,33,73,5.0,138.0
2023-01-26,Kolkata,11,179,96,4,0.36,82,12,39,0.72,80.0
2023-01-27,Kolkata,263,359,40,24,0.29,82,41,52,4.9,229.0
2023-01-28,Mumbai,149,171,94,19,0.59,49,44,59,2.33,132.0
2023-01-29,Chennai,46,197,12,39,1.48,26,22,51,4.42,98.0
2023-01-30,Chennai,169,182,62,16,1.23,10,34,21,4.02,143.0
2023-01-31,Kolkata,18,399,64,65,0.29,98,18,52,3.05,149.0
2023-02-01,Chennai,242,52,54,29,1.85,70,13,49,3.82,145.0
2023-02-02,Chennai,108,198,32,75,1.6,52,23,52,4.45,131.0
2023-02-03,Delhi,156,120,96,40,0.14,113,43,45,2.32,123.0
2023-02-04,Kolkata,217,287,45,58,1.34,51,20,41,1.97,199.0
2023-02-05,Bangalore,140,342,68,18,1.57,34,12,85,3.5,185.0
2023-02-06,Kolkata,161,84,31,45,0.81,48,37,57,4.14,108.0
2023-02-07,Bangalore,63,187,67,26,0.23,44,38,65,3.93,96.0
2023-02-08,Delhi,129,349,21,18,0.25,12,18,34,4.09,163.0
2023-02-09,Mumbai,170,62,77,14,0.3,110,12,63,2.46,109.0
2023-02-10,Chennai,125,63,37,26,1.7,117,34,68,4.18,103.0
2023-02-11,Delhi,84,304,88,69,1.83,53,43,80,1.04,161.0
2023-02-12,Chennai,122,31,81,11,0.33,60,21,86,2.95,76.0
2023-02-13,Mumbai,113,114,96,68,0.55,103,18,25,0.53,108.0
2023-02-14,Mumbai,263,321,33,19,0.41,111,24,28,1.96,221.0
2023-02-15,Delhi,236,272,17,35,0.45,107,34,25,2.15,195.0
2023-02-16,Mumbai,121,261,50,9,1.69,21,14,51,2.28,151.0
2023-02-17,Bangalore,108,54,39,41,0.73,28,20,60,3.63,75.0
2023-02-18,Mumbai,162,234,10,43,0.69,110,43,27,2.25,156.0
2023-02-19,Chennai,203,356,86,42,0.53,53,33,69,2.52,209.0
2023-02-20,Chennai,172,109,73,7,1.25,68,24,81,1.57,128.0
2023-02-21,Chennai,217,283,51,53,0.82,58,17,81,2.18,193.0
2023-02-22,Chennai,178,112,29,27,1.51,70,14,26,1.52,131.0
2023-02-23,Bangalore,170,109,70,65,0.49,26,35,23,0.83,118.0
2023-02-24,Kolkata,77,134,14,60,1.6,83,27,25,3.22,100.0
2023-02-25,Delhi,298,124,60,57,1.25,66,15,77,3.51,184.0
2023-02-26,Chennai,286,215,34,60,0.32,64,22,41,3.29,195.0
2023-02-27,Mumbai,144,333,9,71,0.89,56,37,45,2.59,176.0
2023-02-28,Chennai,204,133,37,34,1.74,21,14,22,2.21,146.0
2023-03-01,Mumbai,137,94,69,54,1.85,71,22,60,4.39,118.0
2023-03-02,Mumbai,42,395,22,23,0.98,89,26,79,2.84,157.0
2023-03-03,Chennai,185,236,53,22,1.01,97,41,33,2.66,171.0
2023-03-04,Bangalore,31,296,15,71,1.85,92,38,31,0.62,134.0
2023-03-05,Mumbai,247,268,89,71,1.22,17,12,31,2.04,206.0
2023-03-06,Mumbai,167,183,30,5,0.16,104,43,32,2.21,137.0
2023-03-07,Chennai,47,376,67,76,1.83,30,36,44,2.29,163.0
2023-03-08,Mumbai,239,211,93,63,0.57,90,22,64,3.11,186.0
2023-03-09,Mumbai,60,246,90,63,1.2,96,42,38,2.9,132.0
2023-03-10,Chennai,273,196,63,25,0.41,110,15,74,3.24,191.0
2023-03-11,Chennai,292,118,31,56,0.16,89,33,64,3.94,169.0
2023-03-12,Delhi,36,55,53,10,0.69,79,28,27,4.16,52.0
2023-03-13,Bangalore,235,115,81,4,1.58,81,25,72,3.73,161.0
2023-03-14,Bangalore,286,171,37,32,0.63,34,37,74,4.8,181.0
2023-03-15,Mumbai,295,170,5,41,0.52,91,42,51,0.58,186.0
2023-03-16,Bangalore,106,209,25,37,0.5,98,22,70,1.38,124.0
